timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
162609125,7463889,1263,42,6.825713,1.472458,0.064307,3.936113,5.472878,15.913638,19.724715,3.055089,1.238159,0.0
162610108,7464872,1996,43,6.781098,1.649231,0.001099,3.926147,5.576477,16.556229,19.611668,3.091776,1.176392,0.0
162611123,7465887,923,41,6.686514,0.402437,0.000987,3.699878,4.103303,14.345235,19.425462,2.902437,1.049927,0.0
162612109,7466873,834,41,6.576329,0.32703,0.00332,3.304532,3.634882,12.236975,19.165907,2.547961,0.858643,0.0
162613110,7467874,699,40,6.476013,0.399109,0.001484,3.32991,3.730503,12.680657,18.937301,2.568609,0.863037,0.0
162614125,7468889,1370,41,6.364367,0.37507,0.001484,2.970238,3.346792,10.684513,18.642854,2.23539,1.18811,0.0
162615104,7469868,838,40,6.270671,0.378646,0.002643,3.400908,3.782197,12.894638,18.434276,2.643495,1.074707,0.0
162616125,7470889,660,39,6.165791,0.362657,0.002805,2.90556,3.271023,10.337822,18.151189,2.170956,1.009644,0.0
162617113,7471877,1904,39,6.070798,0.565174,0.002992,2.987432,3.555597,10.896363,17.887165,2.246261,1.138062,0.0
162618123,7472887,1166,39,5.987676,0.33017,0.000679,3.389025,3.719874,12.826023,17.708398,2.639693,1.019897,0.0
162619121,7473885,1253,39,5.903927,0.291626,0.002722,3.369274,3.663622,12.556261,17.522553,2.595565,1.02832,0.0
162620115,7474879,1797,39,5.828825,0.36988,0.001101,3.425858,3.796839,12.876765,17.35713,2.656101,1.172729,0.0
162621128,7475892,1159,39,5.751829,0.329099,0.00319,3.32982,3.662109,12.489572,17.184158,2.574457,1.118408,0.0
162622123,7476887,799,39,5.675552,0.322649,0.003133,3.31771,3.643492,12.543839,17.016278,2.563115,0.818481,1.109375
162623118,7477882,1753,39,5.605688,0.322676,0.003132,3.381741,3.707548,12.678611,16.862291,2.606379,1.243774,0.0
162624132,7478896,1169,38,5.52661,0.331465,0.002941,3.048204,3.38261,11.026304,16.654488,2.304031,1.114746,0.960938
162625111,7479875,799,39,5.470844,0.293799,0.002588,3.69034,3.986727,14.457688,16.574932,2.92728,0.969116,0.0
162626118,7480882,1286,39,5.407528,0.368832,0.002184,3.287099,3.658115,12.439302,16.430628,2.544941,1.076172,0.0
162627133,7481897,987,39,5.329321,0.302512,0.002361,2.930232,3.235105,10.489941,16.216551,2.198961,0.945068,0.0
162628123,7482887,780,38,5.263132,0.312745,0.001081,3.189592,3.503418,11.798246,16.056388,2.435333,0.925903,0.0
162629122,7483886,898,39,5.218956,0.368679,0.002962,3.642067,4.013709,14.288453,15.993879,2.864398,0.840698,0.0
162630134,7484898,1405,38,5.188336,0.364195,0.001161,3.995389,4.360745,15.997694,15.994015,3.210584,1.198608,0.0
162631116,7485880,863,38,5.117765,0.34217,0.001161,2.892437,3.235768,10.280538,15.787309,2.158765,0.92395,0.0
162632126,7486890,1332,38,5.064999,0.334385,0.003612,3.273716,3.611713,12.407949,15.669032,2.521375,1.128906,0.0
162633139,7487903,798,38,5.014665,0.327453,0.000724,3.342807,3.670984,12.600985,15.558144,2.590858,1.183105,0.898438
162634131,7488895,618,38,4.970826,0.461676,0.001445,3.340983,3.804103,12.681829,15.45398,2.574853,1.068726,0.0
162635127,7489891,799,38,4.93818,0.321234,0.003753,3.724375,4.049363,14.88414,15.433812,2.970706,1.080811,0.0
162636139,7490903,699,38,4.89296,0.307566,0.002574,3.356811,3.666951,12.650745,15.334715,2.604554,1.032349,0.0
162637136,7491900,798,38,4.84634,0.287547,0.001932,3.312319,3.601799,12.425212,15.229661,2.556051,1.102539,0.0
162638148,7492912,699,38,4.79467,0.315144,0.001407,3.080135,3.396686,11.35309,15.091627,2.349242,1.015625,1.007812
162639129,7493893,799,38,4.750195,0.427005,0.000423,3.135492,3.56292,11.529789,14.963019,2.37536,1.055908,0.0
162640140,7494904,799,38,4.726759,0.33501,0.002486,3.74378,4.081275,14.798539,14.957251,2.972057,1.048706,0.0
162641136,7495900,799,38,4.688518,0.324332,0.002236,3.341101,3.667669,12.62624,14.873168,2.58841,0.783569,1.109375
162642130,7496894,788,37,4.641344,0.338969,0.00202,3.022679,3.363668,10.854095,14.73006,2.281281,1.044189,0.0
162643143,7497907,799,38,4.601827,0.336892,0.002582,3.187596,3.52707,11.756575,14.624502,2.430968,1.187744,0.0
162644141,7498905,799,38,4.565428,0.337652,0.002892,3.255168,3.595712,12.249208,14.538567,2.512323,1.020386,0.0
162645135,7499899,898,37,4.538386,0.316001,0.00104,3.489706,3.806747,13.435999,14.499308,2.729458,1.053589,0.0
162646146,7500910,799,37,4.494199,0.352702,0.002149,2.938837,3.293688,10.519517,14.357883,2.202301,0.898804,0.0
162647144,7501908,699,37,4.462197,0.345946,0.000422,3.261521,3.607889,12.379391,14.286445,2.521319,0.799316,1.007812
162648142,7502906,699,38,4.449881,0.760738,0.000428,3.355833,4.116999,13.20665,14.247958,2.603474,1.015869,0.0
162649138,7503902,599,37,4.424089,0.376067,0.00049,3.348975,3.725532,12.628223,14.190226,2.579867,0.803589,0.0
162650145,7504909,848,37,4.396474,0.338022,0.002329,3.307419,3.64777,12.509878,14.130454,2.553478,0.852783,0.0
162651139,7505903,699,38,4.370412,0.343989,0.000848,3.327688,3.672524,12.556817,14.073859,2.572014,0.776489,0.0
162652151,7506915,799,38,4.342674,0.27475,0.001229,3.31231,3.588289,12.405426,14.01463,2.56151,1.033325,0.0
162653148,7507912,799,37,4.30985,0.301075,0.002473,3.130947,3.434494,11.574101,13.926509,2.392795,1.175171,0.0
162654145,7508909,799,38,4.276574,0.306094,0.002265,3.06694,3.375299,11.015928,13.822768,2.315969,0.957397,0.0
162655205,7509969,798,37,4.267509,0.308478,0.002752,3.711035,4.022266,14.568118,13.849308,2.933907,0.986572,1.109375
162656120,7510884,798,40,4.431498,4.438795,0.000519,4.16405,8.603363,21.30363,14.131507,3.313074,0.942383,0.0
