timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
170233156,25325463,1298,41,3.78345,1.771143,0.042812,3.863812,5.677767,15.972594,3.009008,0.903931,0.0
170234102,25326409,1541,41,3.885184,2.085939,0.014518,4.393312,6.493769,18.791039,3.471389,0.819946,0.0
170235106,25327413,1951,60,4.231757,8.570046,0.233742,5.350232,14.15402,30.974472,4.320643,0.922485,0.0
170236153,25328460,2477,66,4.877572,15.807862,0.170326,6.282301,22.260489,42.933734,5.09744,1.031616,0.0
170237081,25329388,2675,56,5.309296,10.505917,0.140783,5.776479,16.423179,34.250808,4.688456,0.731079,0.0
170238156,25330463,1101,49,5.340226,1.827441,0.078511,4.335598,6.241551,18.612186,3.419677,1.009277,0.0
170239117,25331424,2540,64,5.920057,14.126033,0.164085,6.152684,20.442803,40.732483,5.004712,1.06604,0.0
170240136,25332443,798,52,6.006724,3.933947,0.040563,4.465454,8.439964,20.720801,3.536304,0.729248,0.0
170241117,25333424,1993,51,6.138284,4.05626,0.081,5.488008,9.625268,25.771119,4.464209,0.73877,0.0
170242142,25334449,2222,54,6.430391,8.436678,0.088999,5.958526,14.484203,32.994075,4.845319,0.721802,0.0
170243122,25335429,2034,60,6.610233,5.913741,0.068598,5.360792,11.343131,27.777302,4.349395,1.050659,0.0
170244123,25336430,2492,55,6.975964,10.132708,0.550313,6.376679,17.0597,36.29921,5.151928,0.766846,0.0
170245106,25337413,2035,53,7.081013,3.422355,0.283673,6.205424,9.911452,27.373079,5.021739,0.772827,0.0
170246138,25338445,1235,51,7.132803,2.041824,0.528971,5.983926,8.554722,25.565162,4.824758,0.930664,0.0
170247109,25339416,1856,48,7.154408,1.826496,0.367217,5.525842,7.719556,23.195491,4.425611,0.744263,0.0
170248150,25340457,1361,47,7.128249,1.710493,0.129865,4.559722,6.40008,18.907649,3.5968,0.7948,0.0
170249142,25341449,1073,47,7.116528,1.665915,0.312374,4.835295,6.813583,20.099035,3.799263,0.732788,0.0
170250123,25342430,1151,47,7.126394,1.409986,0.472652,5.513489,7.396127,23.222154,4.415103,0.802246,0.0
170251140,25343447,1488,46,7.131307,1.548915,0.121201,5.596235,7.26635,23.574814,4.539327,0.794556,1.101562
170252112,25344419,1076,46,7.152988,1.729169,0.407782,5.591866,7.728817,23.958942,4.503853,0.854858,1.0
170253125,25345432,1486,52,7.262204,4.485487,0.51663,5.300253,10.30237,25.870563,4.180217,0.973755,0.0
170254155,25346462,1767,60,7.71739,13.206925,0.267472,6.34465,19.819047,40.076238,5.155156,0.730957,1.09375
170255142,25347449,2271,52,7.722935,2.707671,0.070585,5.090173,7.868429,22.482448,4.109602,0.796997,0.0
170256165,25348472,1067,49,7.698466,2.208087,0.070585,4.750811,7.029483,20.029837,3.861293,0.875244,0.0
170257139,25349446,1082,46,7.642171,1.80854,0.000537,4.347053,6.15613,17.783365,3.448665,0.732056,0.0
170258164,25350471,3010,48,7.577386,1.640883,0.004315,4.138384,5.783581,16.938575,3.264568,1.255249,0.0
170259142,25351449,1098,46,7.546021,2.27353,0.004315,4.443577,6.721422,18.514414,3.530411,0.741455,0.0
170300141,25352448,799,45,7.527115,1.961363,0.004315,5.039074,7.004752,22.412709,4.154389,0.726318,0.0
170301126,25353433,599,45,7.445134,0.416504,0.004315,4.808532,5.22935,20.133598,3.994629,0.734985,0.0
170302149,25354456,799,43,7.355671,0.760802,0.004709,4.139091,4.904602,17.11463,3.349932,0.729004,0.0
170303136,25355443,699,42,7.238237,0.722995,0.004709,3.413737,4.141441,13.095233,2.630532,0.734131,0.0
170304149,25356456,699,42,7.123281,0.450769,0.004709,3.518307,3.973785,13.235724,2.735935,0.729614,0.0
170305135,25357442,799,41,7.013943,0.363379,0.004709,3.733016,4.101105,14.250594,2.939509,0.731689,0.0
170306135,25358442,599,41,6.924883,0.206171,0.004709,4.276533,4.487414,17.430056,3.469419,0.734131,0.0
170307135,25359442,599,40,6.797101,0.244202,0.004709,3.098074,3.346985,11.038757,2.363098,0.726929,0.0
170308136,25360443,699,42,6.701244,0.644958,0.004709,3.46343,4.113098,12.984863,2.680969,0.729614,0.0
170309132,25361439,1110,41,6.596967,0.455933,0.004709,3.320852,3.781494,12.239226,2.550293,0.72998,0.0
170310161,25362468,738,43,6.575046,1.259944,0.028589,4.692789,5.981323,18.704947,3.729205,0.812744,0.0
170311132,25363439,539,43,6.563416,1.019998,0.072413,5.166478,6.258889,20.614239,4.161364,0.729614,0.0
170312156,25364463,1548,44,6.551767,1.545488,0.093823,4.587158,6.226469,18.555065,3.59887,1.005859,0.0
170313176,25365483,699,47,6.737471,6.840042,0.032243,4.747417,11.619702,25.984927,3.780551,0.75293,0.0
170314155,25366462,4037,67,6.899053,5.820224,0.017087,5.344473,11.181785,27.868187,4.3494,0.979858,0.0
170315156,25367463,699,58,7.318495,12.927495,0.031763,5.923836,18.883094,37.905643,4.816178,0.720093,0.0
170316197,25368504,1537,56,7.386845,3.759863,0.076309,5.398037,9.23421,26.050914,4.41716,1.00061,0.0
170317146,25369453,2510,69,7.903851,15.135956,0.052584,6.117718,21.306258,41.239831,4.980551,0.964966,0.0
170318166,25370473,2429,75,8.386437,15.556255,0.18953,6.381643,22.127429,43.007854,5.192743,1.022339,0.0
170319198,25371505,2554,65,8.706201,10.904409,0.068694,6.191179,17.164283,36.379942,5.054118,0.856934,0.0
170320145,25372452,1298,66,9.05537,11.942644,0.047045,6.171752,18.161442,37.203207,5.036817,0.773682,0.0
170321180,25373487,2007,55,9.01051,1.979642,0.028453,5.719497,7.727593,24.202083,4.678158,0.966187,0.992188
170322130,25374437,1996,54,8.981143,2.404231,0.037469,5.774339,8.21604,24.388882,4.659645,0.806641,0.0
170323196,25375503,1845,0,8.941395,2.50431,0.127806,5.175039,7.807156,22.117149,4.121547,0.947876,0.0
