Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:19:31:972,26344279,699,40,3.888804,2.011372,0.078881,4.257156,6.347408,18.212285,3.336299,0.762573,0.000000
17/08/2022,17:19:32:927,26345234,599,44,4.087218,5.158517,0.025108,4.146505,9.330129,21.796127,3.263259,0.733521,0.000000
17/08/2022,17:19:34:019,26346326,1796,40,4.107936,0.835486,0.005931,3.851975,4.693393,14.836597,3.004626,0.782959,0.000000
17/08/2022,17:19:34:907,26347214,828,44,4.204533,1.870135,0.054073,4.671969,6.596177,19.773099,3.712476,1.317993,0.000000
17/08/2022,17:19:36:076,26348383,1819,42,4.312154,2.812217,0.041880,4.740077,7.594174,20.661569,3.770983,0.841187,0.000000
17/08/2022,17:19:36:936,26349243,1115,45,4.460563,3.206095,0.195845,4.464912,7.866852,20.615132,3.512964,0.732056,0.000000
17/08/2022,17:19:38:025,26350332,599,40,4.476064,0.843446,0.000566,4.120085,4.964098,15.870133,3.234651,0.739136,0.000000
17/08/2022,17:19:38:916,26351223,1215,41,4.525618,1.453456,0.046618,4.251256,5.751329,17.267746,3.335280,0.738647,1.109375
17/08/2022,17:19:40:014,26352321,854,40,4.536356,0.776537,0.007878,4.078669,4.863084,15.670999,3.191091,0.733521,0.000000
17/08/2022,17:19:40:930,26353237,699,40,4.583121,0.810840,0.008108,4.908859,5.727808,20.466066,3.997942,0.745972,0.000000
17/08/2022,17:19:41:949,26354256,799,40,4.622704,1.571238,0.032886,4.190280,5.794404,17.203376,3.287227,0.732300,0.000000
17/08/2022,17:19:42:954,26355261,599,39,4.583539,0.537181,0.032886,2.978581,3.548647,10.936842,2.266199,0.733521,0.000000
17/08/2022,17:19:43:974,26356281,1273,40,4.587504,0.873722,0.023611,3.796898,4.694230,15.033958,2.958227,0.732422,0.000000
17/08/2022,17:19:44:977,26357284,699,40,4.612574,1.208269,0.032580,4.034836,5.275685,16.186105,3.152606,0.886108,0.000000
17/08/2022,17:19:45:951,26358258,599,41,4.689919,2.196475,0.030670,4.542464,6.769608,20.066570,3.636090,0.733276,0.000000
17/08/2022,17:19:46:982,26359289,588,40,4.638443,0.303986,0.030670,2.876983,3.211639,10.234181,2.177276,0.733643,0.000000
17/08/2022,17:19:47:953,26360260,699,40,4.657233,1.397758,0.019871,3.732101,5.149730,15.420118,2.905510,0.739746,0.000000
17/08/2022,17:19:48:968,26361275,499,39,4.616017,0.332839,0.019871,3.118453,3.471163,11.364192,2.384135,0.739624,0.000000
17/08/2022,17:19:49:968,26362275,898,39,4.647868,1.181539,0.006507,4.308371,5.496418,17.117751,3.386096,0.744629,0.000000
17/08/2022,17:19:50:969,26363276,599,39,4.673035,0.449075,0.000549,4.902202,5.351826,19.987057,3.981873,0.732910,0.000000
17/08/2022,17:19:51:971,26364278,599,40,4.702732,0.465355,0.000549,5.037809,5.503713,20.572388,4.106959,0.732544,0.000000
17/08/2022,17:19:52:990,26365297,1179,41,4.742072,0.960299,0.032406,4.809351,5.802056,19.490012,3.862227,0.739380,0.000000
17/08/2022,17:19:53:968,26366275,919,40,4.771906,1.636149,0.030967,3.894750,5.561866,16.206387,3.041755,0.848999,0.000000
17/08/2022,17:19:54:976,26367283,699,41,4.758580,0.638152,0.030967,3.720852,4.389971,14.019012,2.894240,0.736816,0.000000
17/08/2022,17:19:55:950,26368257,996,40,4.747987,0.575872,0.030967,3.857801,4.464640,14.784644,3.036196,0.729126,0.000000
17/08/2022,17:19:56:993,26369300,581,39,4.738008,0.642933,0.005128,3.813634,4.461695,14.353973,2.960268,0.746826,0.000000
17/08/2022,17:19:57:972,26370279,985,39,4.713108,0.694290,0.004393,3.370230,4.068913,12.906512,2.586965,0.760010,0.000000
17/08/2022,17:19:58:998,26371305,499,39,4.705657,1.094331,0.009102,3.396585,4.500018,13.332027,2.595987,0.734619,0.000000
17/08/2022,17:19:59:997,26372304,699,40,4.701926,0.850797,0.009835,3.742993,4.603624,14.619107,2.908230,0.734863,0.000000
17/08/2022,17:20:00:993,26373300,698,40,4.713361,0.559509,0.005615,4.457293,5.022417,18.166360,3.589527,0.772949,0.000000
17/08/2022,17:20:01:955,26374262,807,40,4.693099,0.680579,0.010724,3.453027,4.144330,13.058952,2.652305,0.737793,0.000000
17/08/2022,17:20:02:982,26375289,1854,54,4.936355,6.842422,0.076103,4.869525,11.788050,27.291752,3.912551,0.996582,0.000000
17/08/2022,17:20:03:959,26376266,1288,51,5.322613,9.702565,0.056748,5.728492,15.487805,33.336558,4.635876,0.959351,0.000000
17/08/2022,17:20:04:978,26377285,599,49,5.640972,8.920642,0.037727,5.441701,14.400070,30.631328,4.418796,0.723877,0.000000
17/08/2022,17:20:05:978,26378285,622,44,5.611849,0.844899,0.037727,3.957317,4.839944,15.529561,3.139148,0.734497,0.000000
17/08/2022,17:20:06:993,26379300,599,42,5.559338,0.753235,0.005676,3.381154,4.140065,12.845520,2.584249,0.742065,0.000000
